,Product_ID,Sales_Agent,Status,Created_hour,Created_min,Created_day,Created_month,Source_freq_encode,Location_freq_encode,Delivery_Mode_Mode-1,Delivery_Mode_Mode-2,Delivery_Mode_Mode-3,Delivery_Mode_Mode-4,Delivery_Mode_Mode-5
1939,19,7,0,15,55,14,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1940,5,7,1,15,50,14,9,0.36340065502183405,0.28370633187772926,0,0,1,0,0
1941,15,9,0,15,46,14,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1942,10,3,1,14,49,14,9,0.028930131004366814,0.28370633187772926,1,0,0,0,0
1943,18,3,1,14,30,14,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
1944,19,3,1,14,15,14,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
1945,10,7,0,13,45,14,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1946,18,11,1,13,20,14,9,0.2368995633187773,0.12377183406113537,1,0,0,0,0
1947,5,3,0,13,15,14,9,0.36340065502183405,0.07191593886462883,0,0,1,0,0
1948,15,4,0,12,51,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1949,15,9,1,12,50,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1950,15,3,0,12,49,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1951,15,3,0,12,49,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1952,15,3,0,12,16,14,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1953,15,9,0,12,0,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1954,19,3,0,12,0,14,9,0.3460698689956332,0.12377183406113537,0,0,1,0,0
1955,9,4,0,12,0,14,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1956,15,5,0,12,0,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1957,18,7,0,11,35,14,9,0.3460698689956332,0.06413755458515284,1,0,0,0,0
1958,9,5,1,11,29,14,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
1959,9,9,1,10,59,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1960,15,8,1,10,45,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1961,15,11,0,10,44,14,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1962,19,5,0,10,44,14,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
1963,18,11,1,9,50,14,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1964,18,4,0,9,39,14,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1965,5,3,0,9,25,14,9,0.36340065502183405,0.3541211790393013,0,0,0,0,1
1966,20,4,1,9,15,14,9,0.36340065502183405,0.028930131004366814,0,0,1,0,0
1967,1,9,1,8,50,14,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1968,9,9,1,0,45,14,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
1969,27,5,0,0,10,14,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1970,15,4,0,23,48,13,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1971,19,9,1,21,57,13,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
1972,18,4,1,19,10,13,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
1973,19,11,1,18,15,13,9,0.36340065502183405,0.06413755458515284,0,0,1,0,0
1974,15,5,0,16,55,13,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1975,15,7,0,15,23,13,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1976,9,7,0,14,0,13,9,0.36340065502183405,0.07191593886462883,0,0,1,0,0
1977,15,11,0,13,42,13,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
1978,18,9,0,12,10,13,9,0.36340065502183405,0.054448689956331876,0,0,1,0,0
1979,15,9,1,11,51,13,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1980,18,4,1,11,40,13,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
1981,19,5,1,11,35,13,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1982,15,4,0,9,7,13,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1983,18,3,0,8,24,13,9,0.2368995633187773,0.06413755458515284,0,0,1,0,0
1984,15,3,0,6,31,13,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1985,5,9,1,2,32,13,9,0.2368995633187773,0.07191593886462883,0,0,1,0,0
1986,19,5,1,23,31,12,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1987,15,7,0,22,54,12,9,0.2368995633187773,0.3541211790393013,0,0,1,0,0
1988,1,11,0,18,40,12,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1989,5,5,1,18,30,12,9,0.36340065502183405,0.06413755458515284,1,0,0,0,0
1990,9,4,1,18,6,12,9,0.3460698689956332,0.12377183406113537,0,0,1,0,0
1991,27,7,0,18,3,12,9,0.2368995633187773,0.12377183406113537,0,0,1,0,0
1992,18,9,0,17,22,12,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
1993,9,5,0,17,15,12,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
1994,1,11,0,16,55,12,9,0.36340065502183405,0.06413755458515284,0,0,1,0,0
1995,19,11,1,16,30,12,9,0.36340065502183405,0.06413755458515284,0,0,1,0,0
1996,18,8,1,16,20,12,9,0.36340065502183405,0.07191593886462883,0,0,1,0,0
1997,9,5,0,15,58,12,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
1998,1,7,0,15,32,12,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
1999,5,7,1,15,16,12,9,0.2368995633187773,0.054448689956331876,1,0,0,0,0
2000,19,3,1,14,42,12,9,0.028930131004366814,0.28370633187772926,1,0,0,0,0
2001,18,4,0,13,28,12,9,0.3460698689956332,0.28370633187772926,0,0,0,0,1
2002,19,12,0,13,25,12,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2003,27,4,1,13,20,12,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2004,15,11,1,12,37,12,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
